country,year,Olympic cost($Billion),Olympic overspend %,Type,GDP,Military,Education
Canada,1988,1.109,65,Winter,5.07354351182e+11,9897416104.66,31502646373.6
France,1992,1.997,137,Winter,1.40872490706e+12,45125154894.7,66364889499.3
Spain,1992,9.687,266,Summer,6.29202392004e+11,12250414432.0,24209254155.0
Norway,1994,2.228,277,Winter,1.2713146112e+11,3403281568.81,9954940070.97
United States,1996,4.143,151,Summer,8.100201e+12,2.71417e+11,4.00273862475e+11
Japan,1998,2.227,56,Winter,3.91457488734e+12,37848925902.9,1.34122339163e+11
Australia,2000,5.026,90,Summer,4.1495195629e+11,7879168498.4,20308786120.7
United States,2002,2.52,24,Winter,1.0977514e+13,3.5672e+11,5.93466361868e+11
Greece,2004,2.942,49,Summer,2.40521260988e+11,6267196424.14,8852481219.18
Italy,2006,4.366,80,Winter,1.9426338418e+12,33409860745.2,88111460372.4
China,2008,6.81,2,Summer,4.55843107344e+12,86411852415.1,86424662250.6
Canada,2010,2.54,13,Winter,1.61340613473e+12,19314938846.8,86658624946.2
United Kingdom,2012,14.957,76,Summer,2.63047298117e+12,58495657750.2,1.51295336174e+11
Russian Federation,2014,21.89,289,Winter,2.03097257101e+12,84696520420.4,84380208116.2
Brazil,2016,4.557,51,Summer,1.7747248189e+12,24609546424.6,1.04962904909e+11
